#Metric	Minimum	Maximum
COVERAGE_LEVELS	600	2000
AMPLICON_COVERAGE_LEVELS	50	.
TOTAL_READS	1000000	.
ALIGNED_READS	.	.
PERCENT_ALIGNED_READS	98	.
ONTARGET_READS	.	.
PERCENT_ONTARGET_READS	70	.
MEAN_READS_PER_UMI	.	.
PERCENT_UMI_COVERAGE_OVER_2x	.	.
MEAN_READ_PAIRS_PER_AMPLICON	.	.
PERCENT_AMPLICON_LOW_COVERAGE	.	35
FAILED_HOTSPOTQC	.	0
PASSED_HOTSPOTQC	.	.
MEAN_UNIQUE_COVERAGE	2000	.
PERCENT_UNIQUE_COVERAGE1	95	.
PERCENT_UNIQUE_COVERAGE2	.	.
MEAN_TARGET_COVERAGE	2000	.
PERCENT_TARGET_COVERAGE1	95	.
PERCENT_TARGET_COVERAGE2	.	.
HAPLOTECT_SITES		2	.
HAPLOTECT_CONTAM	.	0.01
