ENSG00000119535	ENST00000373106
ENSG00000117400	ENST00000372470
ENSG00000213281	ENST00000369535
ENSG00000119772	ENST00000321117
ENSG00000115524	ENST00000335508
ENSG00000138413	ENST00000345146
ENSG00000179348	ENST00000341105
ENSG00000157404	ENST00000288135
ENSG00000168769	ENST00000380013
ENSG00000181163	ENST00000296930
ENSG00000183258	ENST00000330503
ENSG00000257923	ENST00000292535
ENSG00000157764	ENST00000644969
ENSG00000106462	ENST00000320356
ENSG00000164754	ENST00000297338
ENSG00000136997	ENST00000621592
ENSG00000096968	ENST00000381652
ENSG00000148400	ENST00000651671
ENSG00000108055	ENST00000361804
ENSG00000184937	ENST00000452863
ENSG00000110395	ENST00000264033
ENSG00000139083	ENST00000396373
ENSG00000133703	ENST00000311936
ENSG00000179295	ENST00000351677
ENSG00000122025	ENST00000241453
ENSG00000182054	ENST00000330062
ENSG00000141510	ENST00000269305
ENSG00000196712	ENST00000358273
ENSG00000178691	ENST00000322652
ENSG00000173757	ENST00000293328
ENSG00000168610	ENST00000264657
ENSG00000170836	ENST00000305921
ENSG00000161547	ENST00000359995
ENSG00000152217	ENST00000649279
ENSG00000179218	ENST00000316448
ENSG00000245848	ENST00000498907
ENSG00000171456	ENST00000375687
ENSG00000159216	ENST00000675419
ENSG00000160201	ENST00000291552
ENSG00000183765	ENST00000404276
ENSG00000165195	ENST00000333590
ENSG00000169249	ENST00000307771
ENSG00000183337	ENST00000378444
ENSG00000130985	ENST00000335972
ENSG00000102145	ENST00000376670
ENSG00000072501	ENST00000322213
ENSG00000101972	ENST00000371145
ENSG00000085185	ENST00000540052
ENSG00000156531	ENST00000370803
